codigo,nombre,marca,confidence,final_score,imagen_url,candidate_url,reused_from,error
00000610,KAWS X SESAME STREET UNIQLO BIG BIRD PLUSH TOY - Color Amarillo,KAWS X SESAME STREET,HIGH,101,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000610.jpg,https://images.stockx.com/images/Kaws-Sesame-Street-Uniqlo-Big-Bird-Plush-Toy-Yellow.png?fit=clip&bg=FFFFFF&w=400&h=500&auto=compress&q=90&dpr=2&trim=color&updated_at=1620341046&fm=jpg&ixlib=react-9.1.5,,
00000611,SUPREME UMBRO SOCCER BALL - Color Blanco,SUPREME,HIGH,99,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000611.webp,https://images.stockx.com/images/Supreme-Umbro-Soccer-Ball-White.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=webp&auto=compress&dpr=2&trim=color&updated_at=1657207180&q=60,,
00000612,SUPREME TAZAS HELLER - Color Rojo,SUPREME,MEDIUM,57,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000612.jpg,https://images.stockx.com/images/Supreme-Heller-Mugs-Set-of-2-Red-Product.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1608522858,,
00000613,SUPREME ZIPPO - Color Rojo,SUPREME,HIGH,87,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00000613.webp,https://images.stockx.com/images/Supreme-Logo-Zippo-Red-3.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1606324540?height=78&width=78,,
00001002,MOCK NECK TEE - Talla L - Color Fucsia,PALM ANGELS,MEDIUM,67,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001002.jpg,"https://media.endclothing.com/media/f_auto,q_auto:eco,w_1600/prodmedia/media/catalog/product/1/2/12-04-2022_ML_PMAA002C99JER0012501_10_1.jpg",,
00001009,SEASONAL LOGO - Talla XXL - Color Verde Palta,PALM ANGELS,MEDIUM,57,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001009.webp,https://images.stockx.com/images/Palm-Angels-Seasonal-Logo-Vint-Crew-White-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1674135975,,
00001012,STATEMENT MONOGRAM TEE WHITEE ORANGE - Talla L - Color Blanco,PALM ANGELS,MEDIUM,42,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001012.jpg,https://cdn.clothbase.com/uploads/634eaa81-c092-484c-9aee-38befe217d5b/off-white-statement-monogram-t-shirt.jpg,,
00001016,STATEMENT MONOGRAM TEE BLACK GREY - Talla M -Color Negro GrisT,PALM ANGELS,MEDIUM,54,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001016.jpg,https://www.flannels.com/images/imgzoom/59/59833503_xxl_a2.jpg,,
00001023,NECK LOGO TEE BLUE GREEN - Talla XL - Color Azul,PALM ANGELS,HIGH,94,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001023.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dw5f66894b/images/zoom/PMAA001S25JER002_4555_1.jpg?sw=532&sh=707,,
00001026,NECK LOGO REG TEE DARK GREY - Talla M - Color Gris Oscuro,PALM ANGELS,HIGH,82,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001026.webp,https://cdn-images.farfetch-contents.com/palm-angels-neck-logo-t-shirt-black_23894057_55999326_2048.jpg,,
00001030,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla XS - Color Negro Fucsia,PALM ANGELS,HIGH,105,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001030.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/100/654/007/original/742712_02.jpg.jpeg?action=crop&width=750,,
00001031,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla S - Color Negro Fucsia,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001030.jpg,,PALM ANGELS|DOUBLED LOGO OVER TEE BLACK FUCHSIA,
00001032,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla M - Color Negro Fucsia,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001030.jpg,,PALM ANGELS|DOUBLED LOGO OVER TEE BLACK FUCHSIA,
00001035,DOUBLED LOGO OVER TEE BLACK FUCHSIA - Talla XXL - Color Negro Fucsia,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001030.jpg,,PALM ANGELS|DOUBLED LOGO OVER TEE BLACK FUCHSIA,
00001037,CLASSIC LOGO OVER TEE BLACK WHITE - Talla L - Color Negro Blanco,PALM ANGELS,HIGH,105,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001037.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/088/283/557/original/1202996_02.jpg.jpeg?action=crop&width=750,,
00001039,CLASSIC LOGO OVER TEE BLACK WHITE - Talla XXL - Color Negro Blanco,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001037.jpg,,PALM ANGELS|CLASSIC LOGO OVER TEE BLACK WHITE,
00001043,PARIS MONOGRAM SPRAY TEE BLACK BLACK - Talla XL - Color Negro Negro,PALM ANGELS,HIGH,100,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001043.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dwe073b387/images/zoom/PMAA001C99JER027_1010_1.jpg?strip=false,,
00001047,LAS VEGAS MONOGRAM SPRAY T BLACK GOLD - Talla L - Color Negro Dorado,PALM ANGELS,HIGH,82,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001047.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dwd7bd2bfe/images/zoom/PMAA001C99JER025_0103_5.jpg?strip=false,,
00001052,LA MONOGRAM SPRAY TEE WHITE - Talla L - Color Blanco Gris,PALM ANGELS,HIGH,88,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001052.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dwd7bd2bfe/images/zoom/PMAA001C99JER025_0103_5.jpg?strip=false,,
00001057,BEAR IN MIND OVER TEE BLACK BROWN- Talla L - Color Negro Oso,PALM ANGELS,HIGH,100,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001057.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dwc7344228/images/zoom/PMAA002S25JER002_1060_2.jpg?strip=false,,
00001061,BEAR IN MIND LOOSE TEE WHITE BROWN - Talla M - Color Blanco Crema,PALM ANGELS,MEDIUM,64,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001061.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dw20237c1c/images/zoom/PWAA017S25JER004_3C60_2.jpg?sw=532&sh=707,,
00001069,CLASSIC LOGO POLO SHIRT BLACK WHITE - Talla XXL - Color Negro Camisero,PALM ANGELS,HIGH,101,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001069.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/087/882/683/original/1194727_01.jpg.jpeg?action=crop&width=750,,
00001073,PALM CONCERT TSHIRT BLACK MULTICOLOR - Talla XL - Color Negro Graphic Print,PALM ANGELS,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001073.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/092/143/881/original/1252538_01.jpg.jpeg?width=750,,
00001076,CRAZY MOUTH TSHIRT - Talla M - Color Negro Graphic Mouth,PALM ANGELS,MEDIUM,48,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001076.webp,https://cdn-images.farfetch-contents.com/20/20/56/37/20205637_50609990_1000.jpg,,
00001082,PARADISE PALM TEE BLACK YELLOW - Talla L - Color Negro Amarillo Acid Wash,PALM ANGELS,MEDIUM,58,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001082.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dw0db31f77/images/zoom/PMAA001S25JER001_1845_3.jpg?strip=false,,
00001087,RACING TEE SLIM FIT BLACK WHITE RED - Talla L - Color Negro Banderas,PALM ANGELS,HIGH,73,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001087.jpg,"https://media.endclothing.com/media/f_auto,q_auto:eco,w_1600/prodmedia/media/catalog/product/0/2/02-11-2023-BLR_PMGG005T23FAB0011001_8_1.jpg",,
00001092,PALM CURVED LOGO TEE BLACK GREY - Talla L - Color Gris Oscuro,PALM ANGELS,MEDIUM,58,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001092.webp,https://cdn-images.farfetch-contents.com/palm-angels-neck-logo-t-shirt-black_23894057_49171315_1000.jpg,,
00001096,STAFF CLASICC TEE WHITE BLACK - Talla M - Color blanco Basic Palmera,PALM ANGELS,MEDIUM,52,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001096.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dwd3b698af/images/zoom/PWAA023C99JER002_0110_3.jpg?strip=false,,
00001102,CLASICC LOGO SLIM TEE WHITE BLACK - Talla L - Color Blanco Perla,PALM ANGELS,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001102.webp,https://images.stockx.com/images/Palm-Angels-Classic-Logo-Slim-T-shirt-White-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1690582224,,
00001106,CURVED LOGO TEE BLACK BLACK - Talla M - Color Negro Negro,PALM ANGELS,HIGH,84,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001106.webp,https://cdn-images.farfetch-contents.com/31/05/23/73/31052373_60112769_1000.jpg,,
00001107,CURVED LOGO TEE BLACK BLACK - Talla L - Color Negro Negro,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001106.webp,,PALM ANGELS|CURVED LOGO TEE BLACK BLACK,
00001113,PAXSETAI CLASSIC TEE PETROL BLUE WHI - Talla XL - Color Celeste Palmera fucsia,PALM ANGELS,HIGH,76,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001113.webp,https://cdn-images.farfetch-contents.com/19/41/70/08/19417008_42606396_2048.jpg,,
00001118,PALM MEX MONEYGRAM HAAS F1 ORANGE FUCHSIA - Talla XL - Color Naranja Fucsia,PALM ANGELS,MEDIUM,48,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001118.jpg,https://theimpression.com/wp-content/uploads/2023/05/palm-angels-f1-news-the-impression-005-scaled.jpg,,
00001122,MOP MILANO OVER TEE - Talla L - Color Blanco Milano,PALM ANGELS,HIGH,76,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001122.webp,https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-milano_22030628_53217694_2048.jpg,,
00001128,NY SPRAYED LOGO TEE BLACK BLUE - Talla XL - Color Negro New York,PALM ANGELS,HIGH,82,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001128.webp,https://cdn-images.farfetch-contents.com/palm-angels-new-york-sprayed-t-shirt_17574265_36649068_2048.jpg,,
00001133,TOKYO SPRAYED LOGO TEE WHITE RED - Talla XL - Color Blanco Tokio,PALM ANGELS,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001133.webp,https://images.stockx.com/images/Palm-Angels-Tokyo-Sprayed-T-Shirt-White.jpg?fit=fill&bg=FFFFFF&w=480&h=320&fm=webp&auto=compress&dpr=2&trim=color&updated_at=1619753632&q=60,,
00001136,PARIS SPRAYED LOGO TEE BLACK BLACK - Talla M - Color Negro Paris,PALM ANGELS,HIGH,95,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001136.png,http://images.mrshopplus.com/469800128058134/DTB_proProduct/2025-06-07/palm_angels_paris_sprayed_logo_t_shirt__black_black__1C681926BCE1A.jpg,,
00001141,BURNING MONOGRAM TEE WHITE GOLD - Talla M - Color Blanco Perla Dorado,PALM ANGELS,MEDIUM,54,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001141.jpg,https://www.onudesignerwear.com/images/palm-angels-burning-monogram-t-shirt-white-gold-p18698-36266_image.jpg,,
00001142,BURNING MONOGRAM TEE WHITE GOLD - Talla L - Color Blanco Perla Dorado,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001141.jpg,,PALM ANGELS|BURNING MONOGRAM TEE WHITE GOLD,
00001146,BERTA CLASSIC TEE WHITE PINK - Talla M - Color Blanco Cocker,PALM ANGELS,HIGH,99,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001146.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/070/686/724/original/927699_01.jpg.jpeg?width=750,,
00001150,PAISLEY BOWLING SHIRT NAVY BLUE NAVY - Talla S (48) - Color Azul Bandana,PALM ANGELS,LOW,36,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001150.jpg,https://is4.fwrdassets.com/images/p/fw/p/PALF-MS142_V1.jpg,,
00001157,HOLLY PIN UP TEE BLACK - Talla L - Color Negro Dado,PALM ANGELS,HIGH,82,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001157.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dw34fab923/images/zoom/PMAA001S25JER00B_1003_5.jpg?sw=532&sh=707,,
00001161,FOGGY PA TEE WHITE BLACK - Talla M - Color Blanco Perla Humo,PALM ANGELS,HIGH,83,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001161.webp,https://images.stockx.com/images/Palm-Angels-Foggy-PA-T-Shirt-Off-White-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1721027696,,
00001167,CURVED LOGO T-SHIRT PALM TREES - Talla L - Color Gris Gaspeado,PALM ANGELS,HIGH,94,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001167.webp,https://cdn-images.farfetch-contents.com/palm-angels-curved-logo-oversize-t-shirt_25369615_56271149_2048.jpg,,
00001172,COLLEGE CLASSIC TEE BLACK WHITE  - Talla L - Color Negro L.A,PALM ANGELS,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001172.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/104/569/433/original/1365974_01.jpg.jpeg?width=750,,
00001176,BLACK GOTHIC PALM OVER TEE WHITE BLACK - Talla M - Color Blanco Negro Gotico,PALM ANGELS,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001176.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/071/778/724/original/938572_01.jpg.jpeg?action=crop&width=750,,
00001182,DEC PALM CULTURE REG TEE WHITE BLACK - Talla L - Color Blanco Decoding,PALM ANGELS,MEDIUM,54,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001182.jpg,https://static.ftshp.digital/img/p/1/4/8/9/2/7/6/1489276.jpg,,
00001190,UNIVERSITY TEE WHITE BLACK - Talla S - Color Blanco Perla Angel,PALM ANGELS,HIGH,93,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001190.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/093/846/234/original/1263874_01.jpg.jpeg?width=750,,
00001197,CROSSROADS BEARS TEE IVORY MULTICOLOR - Talla L - Color Crema Three Bears,PALM ANGELS,MEDIUM,66,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001197.webp,https://cdn-images.farfetch-contents.com/25/36/96/82/25369682_57100808_1000.jpg,,
00001202,IVY PIN UP TEE IVORY BLACK - Talla L - Color Crema Serpiente,PALM ANGELS,MEDIUM,52,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001202.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dw5ff9045f/images/zoom/PMAA001S25JER007_0B10_5.jpg?sw=532&sh=707,,
00001206,ANGEL PENCIL TEE WHITE LIGHT - Talla M - Color Blanco Perla Angel Dorado,PALM ANGELS,HIGH,99,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001206.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/103/812/995/original/1472186_01.jpg.jpeg?width=750,,
00001207,ANGEL PENCIL TEE WHITE LIGHT - Talla L - Color Blanco Perla Angel Dorado,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001206.jpg,,PALM ANGELS|ANGEL PENCIL TEE WHITE LIGHT,
00001211,TMALL SHARK CLASSIC TEE CREAM BLACK -Talla M - Color Crema Shark,PALM ANGELS,MEDIUM,53,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001211.webp,https://images.stockx.com/images/Palm-Angels-White-Shark-Classic-Tee-Black-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1683039052,,
00001216,STATEMENT PENCIL CLASSIC T BLACK GREY - Talla M - Negro Azul,PALM ANGELS,MEDIUM,48,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001216.jpg,https://cdn.clothbase.com/uploads/27c45534-d773-4777-8334-a72912495e1e/black-statement-pencil-t-shirt.jpg,,
00001217,STATEMENT PENCIL CLASSIC T BLACK GREY - Talla L - Negro Azul,PALM ANGELS,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001216.jpg,,PALM ANGELS|STATEMENT PENCIL CLASSIC T BLACK GREY - Negro Azul,
00001221,NECK LOGO REG TEE BURGUNDY RED - Talla M - Color Rojo Vino,PALM ANGELS,HIGH,88,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001221.jpg,https://www.palmangels.com/dw/image/v2/BGDG_PRD/on/demandware.static/-/Sites-53/default/dw82f2c3e8/images/zoom/PMBB17DF25FLE003_2825_2.jpg?strip=false,,
00001226,CROCO CLASSIC TEE BLACK GREEN - Talla M - Color Negro Cocodrilo,PALM ANGELS,HIGH,99,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001226.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/071/778/278/original/933436_01.jpg.jpeg?action=crop&width=750,,
00001230,RHUDE BLACK CAVIAR TEE - Talla S - Color Azul Negro,RHUDE,MEDIUM,63,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001230.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/109/751/209/original/1556859_01.jpg.jpeg?width=750,,
00001235,GRAND CRU TEE RHUDE BLACK - Talla S - Color Negro Azul,RHUDE,HIGH,93,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001235.jpg,https://images.stockx.com/images/Rhude-Grand-Cru-T-shirt-Vintage-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=41&dpr=3&trim=color&updated_at=1726867187,,
00001241,GRAND CRU TEE VINTAGE CREAM - Talla M - Color Crema,RHUDE,MEDIUM,57,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001241.webp,https://images.stockx.com/images/Rhude-Grand-Cru-T-shirt-Vintage-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1726867198,,
00001246,ABSTRACT HERON PRINT TSHIRT - Talla M - Color Gris Naranja,HERON PRESTON,MEDIUM,53,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001246.webp,https://images.stockx.com/images/Heron-Preston-Abstract-Heron-Print-T-Shirt-White-Orange.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1646691282,,
00001251,REG HPNY TEE BLACK WHITE - Talla M - Color Negro,HERON PRESTON,MEDIUM,53,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001251.webp,https://images.stockx.com/images/Heron-Preston-Reg-HPNY-T-Shirt-Black-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1675799767,,
00001256,NF HERON BW TEE BLACK - Talla M - Color Negro Ave,HERON PRESTON,MEDIUM,47,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001256.webp,https://images.stockx.com/images/Heron-Preston-NF-Heron-Bw-SS-Tee-White-Black.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1668142281,,
00001261,BOOKISH STRIPES SKATE WHITE TRUE BLUE OFF WHITE - Talla M - Color Blanco Manga Azul,OFF WHITE,MEDIUM,59,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001261.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/101/963/266/original/1410247_03.jpg.jpeg?action=crop&width=750,,
00001263,BOOKISH STRIPES SKATE WHITE TRUE BLUE OFF WHITE - Talla XL - Color Blanco Manga Azul,OFF WHITE,HIGH,0,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001261.jpg,,OFF WHITE|BOOKISH STRIPES SKATE WHITE TRUE BLUE OFF WHITE,
00001266,MONALISA OVER TEE WHITE BLACK OFF WHITE -  Talla M - Color Blanco,OFF WHITE,HIGH,95,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001266.jpg,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/100/331/869/original/711111_01.jpg.jpeg?action=crop&width=750,,
00001267,DIAG PKT SLIM TEE WHITE BLACK OFF WHITE - Talla L - Color Blanco Bolsillo,OFF WHITE,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001267.webp,https://images.stockx.com/images/OFF-WHITE-Diag-Stripe-Pocket-Tee-White-Black.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&fm=webp&auto=compress&dpr=2&trim=color&updated_at=1675944865&q=75,,
00001272,CLB SLIM TEE WHITE BLACK OFF WHITE - Talla L - Color Blanco,OFF WHITE,LOW,24,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001272.jpg,https://www.flannels.com/images/imgzoom/59/59432001_xxl_a2.jpg,,
00001276,CLB SLIM TEE BLACK WHITE OFF WHITE - Talla M - Color Negro,OFF WHITE,HIGH,89,https://aws-marcostorresalarcon-bucket.s3.us-east-2.amazonaws.com/products/00001276.jpg,https://images.stockx.com/images/OFF-WHITE-For-All-Slim-Tee-Black-White.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&q=60&dpr=1&trim=color&updated_at=1675944847,,
